0,15,32,53,3,19,40,55,7
0,16,34,56,7,25,47,62,16
0,17,37,59,12,31,54,6,25
0,19,39,63,17,37,61,15,35
0,20,41,2,22,43,4,23,45
0,21,44,6,26,49,12,32,55
0,23,47,10,32,56,20,41,1
0,24,49,14,37,63,27,51,12
0,25,52,18,43,5,36,60,23
0,26,55,22,48,12,44,6,34
0,28,58,26,54,19,53,16,45
0,29,61,31,60,26,61,26,57
0,31,63,35,2,34,6,36,5
0,33,2,40,8,42,15,47,17
0,34,5,45,14,49,24,58,29
0,36,9,49,20,58,34,5,42
0,37,12,54,26,1,44,16,55
0,39,15,59,33,9,53,27,3
0,41,18,63,40,17,63,39,16
0,42,22,5,47,26,9,50,30
0,44,25,10,53,34,19,0,44
0,46,28,15,60,43,29,10,58
0,48,32,20,3,52,40,23,7
0,49,36,26,10,61,51,35,21
0,51,39,31,17,5,62,48,36
0,53,43,36,24,15,8,60,50
0,55,47,42,32,24,19,9,1
0,57,50,48,39,33,30,22,16
0,59,54,54,47,43,42,35,31
0,60,58,59,55,52,54,49,46
0,0,0,0,0,0,0,0,0
0,1,2,6,6,7,12,12,13
0,2,5,12,14,17,24,25,29
0,4,10,18,22,27,36,40,45
0,6,13,24,30,37,48,54,61
0,8,17,30,38,47,60,3,13
0,10,22,37,46,58,9,18,29
0,12,26,43,55,3,21,32,46
0,14,30,49,0,14,33,47,62
0,16,34,56,7,24,46,61,15
0,18,38,62,15,35,59,12,32
0,21,42,4,23,45,7,26,48
0,23,47,10,32,56,20,41,1
0,25,51,16,41,2,32,57,18
0,27,56,23,49,13,45,7,35
0,29,59,29,58,24,58,22,53
0,31,63,36,2,35,7,37,6
0,33,4,42,11,46,20,53,23
0,36,9,49,20,57,33,4,41
0,38,13,56,28,3,46,19,59
0,40,17,62,37,14,60,35,12
0,42,22,5,46,25,9,50,29
0,45,26,11,56,37,22,2,47
0,47,30,18,63,48,35,17,1
0,49,35,24,9,59,48,33,19
0,51,40,31,17,6,62,48,36
0,54,44,38,26,17,11,63,54
0,56,48,45,35,28,24,15,8
0,58,53,52,45,40,38,31,26
0,60,58,59,54,50,52,47,44
0,0,0,0,0,0,0,0,0
0,1,2,8,7,9,14,14,15
0,3,6,14,16,20,27,29,34
0,5,11,21,25,31,41,45,51
0,7,15,27,34,42,55,61,5
0,10,20,34,43,54,4,12,23
0,11,24,41,52,1,17,27,41
0,14,29,48,61,11,30,44,59
0,16,33,55,5,23,44,59,12
0,18,38,61,14,34,58,10,30
0,20,42,3,23,45,6,26,48
0,23,47,10,32,56,19,41,1
0,25,51,16,41,3,33,57,19
0,27,56,23,49,14,46,8,36
0,29,60,30,59,24,59,23,54
0,31,63,36,3,35,8,38,6
0,34,4,43,11,46,20,54,24
0,36,9,49,20,57,33,4,41
0,38,13,56,28,3,46,19,59
0,40,17,62,37,14,59,34,11
0,42,21,4,46,24,7,49,28
0,44,25,10,54,35,20,63,45
0,46,29,16,62,46,33,14,61
0,48,34,23,6,56,45,28,14
0,50,38,29,14,2,58,43,30
0,53,42,35,23,12,5,58,47
0,55,46,41,31,22,17,7,63
0,57,50,47,39,32,29,21,14
0,59,54,53,47,42,41,35,30
0,60,58,59,55,52,53,49,46
0,62,61,63,62,61,63,62,61
0,1,2,6,6,7,12,12,13
0,2,5,12,13,17,24,25,28
0,4,9,18,21,26,35,38,44
0,6,13,23,28,36,46,52,59
0,8,16,29,36,45,58,1,9
0,10,20,35,43,54,4,13,23
0,11,24,40,50,63,15,25,38
0,13,27,45,58,8,26,38,52
0,15,31,51,1,16,36,50,2
0,16,34,56,7,25,47,62,16
0,18,38,61,14,34,57,10,29
0,20,41,2,21,42,3,22,43
0,21,44,7,27,50,12,33,57
0,23,48,11,34,59,22,45,5
0,24,51,16,40,2,32,56,18
0,26,54,21,47,10,41,3,30
0,27,58,26,53,18,51,13,43
0,29,60,30,59,25,60,24,55
0,31,63,35,1,33,4,34,2
0,32,2,39,6,40,13,45,14
0,34,5,43,12,47,22,55,25
0,35,7,47,17,54,30,1,37
0,36,10,52,23,61,38,10,48
0,38,13,56,28,3,46,19,59
0,39,15,59,34,10,54,28,4
0,40,18,63,39,16,62,37,15
0,42,20,3,44,22,5,46,24
0,43,23,6,48,28,12,54,34
0,44,25,10,53,34,19,0,44
0,45,27,13,58,40,26,6,53
